City,"Country region",Name,"Service opened","Last expanded",Stations,Lines,System length,"Annual ridership (millions)"
Algiers,Algeria,Algiers Metro,2011[11],2018[12],19[12],1,18.5 km (11.5 mi)[13],45.3 (2019)[R 1]
Buenos Aires,Argentina,Buenos Aires Underground,1913[Nb 1],2019[16],78[Nb 2][17],7,56.7 km (35.2 mi)[17],74 (2020)[R 2]
Yerevan,Armenia,Yerevan Metro,1981[18],1996[19],10[18],1,12.1 km (7.5 mi)[18],23.3 (2022)[R 3]
Sydney,Australia,Sydney Metro,2019[20],2019,13[20],1,36 km (22 mi)[20][21],19.7 (2022)[R 4][R 5][R Nb 1]
Vienna,Austria,Vienna U-Bahn,1978[22][Nb 3],2017[23],98[24],5,83.3 km (51.8 mi)[22],459.8 (2019)[R 6]
Baku,Azerbaijan,Baku Metro,1967[25],2022[26],27[25],3,40.7 km (25.3 mi)[25],202.5 (2022)[R 3]
Dhaka,Bangladesh,Dhaka Metro Rail,2022[27],2023,16,1,20.1 km (12.5 mi),0 (2023)
Minsk,Belarus,Minsk Metro,1984[28],2020[28],30[29],3,40.8 km (25.4 mi)[29],225.9 (2022)[R 3]
Brussels,Belgium,Brussels Metro,1976[30],2009[Nb 4],59[30][Nb 5],4,39.9 km (24.8 mi)[31],129.2 (2022)[R 7]
Belo Horizonte,Brazil,Belo Horizonte Metro,1986[32],2002[32],19[33],1,28.1 km (17.5 mi)[34],54.4 (2019)[R 8]
Brasília,Brazil,Federal District Metro,2001[35],2020[36],27[37],2,42.4 km (26.3 mi)[37][38],39.1 (2022)[R 9]
Fortaleza,Brazil,Fortaleza Metro[Nb 6],2012[39],2013[40],20[41],2,24.1 km (15.0 mi)[41],8.9 (2022)[R 10]
Porto Alegre,Brazil,Porto Alegre Metro,1985[42],2014[42],22[43],1,43.8 km (27.2 mi)[43],31.9 (2022)[R 11]
Recife,Brazil,Recife Metro[Nb 7],1985[44],2009[44],28[45],3,39.5 km (24.5 mi)[45],93.5 (2019)[R 12]
Rio de Janeiro,Brazil,Rio de Janeiro Metro,1979[46],2016[47],41[46],3,58 km (36 mi)[47],118.7 (2020)[R 13]
Salvador,Brazil,Salvador Metro,2014[48],2023[49],20[50],2,34 km (21 mi),62 (2020)[R 14]
São Paulo,Brazil,São Paulo Metro[Nb 8],1974[51],2021[52],89[52],6,104.4 km (64.9 mi)[52],"1,104.2 (2022)[R 15]"
Sofia,Bulgaria,Sofia Metro,1998[53],2021[54],47[54],4,52 km (32 mi)[54],92.4 (2019)[R 16]
Montreal,Canada,Montreal Metro,1966[55],2007[55],68[56],4,69.2 km (43.0 mi)[56],245.5 (2022)[R 17][R Nb 2]
Montreal,Canada,Réseau express métropolitain,2023[57],2023,5,1,16.6 km (10.3 mi)[58],0 (2023)
Toronto,Canada,Toronto subway[59],1954[60],2017[60],70[61],3,70.5 km (43.8 mi)[62],235.7 (2022)[R 17][R Nb 2][R Nb 3]
Vancouver,Canada,SkyTrain,1985[63],2016[64],53[64],3,79.6 km (49.5 mi)[64],116.6 (2022)[R 17][R Nb 2]
Santiago,Chile,Santiago Metro,1975[65],2023[66],126[67],7,149 km (93 mi)[68],544.4 (2022)[R 18]
Beijing,China,Beijing Subway[69],1971[Nb 9],2023[70],381[Nb 10],27,815.9 km (507.0 mi)[70][Nb 11],"2,292.7 (2020)[R 19]"
Changchun,China,Changchun Rail Transit,2017[Nb 12],2023[71],35[Nb 13],2,43 km (27 mi)[Nb 14],154.4 (2020)[R 19]
Changsha,China,Changsha Metro,2014[72],2023[73],135,6,207.9 km (129.2 mi),385.8 (2020)[R 19]
Changzhou,China,Changzhou Metro,2019[74],2021[75],43,2,54 km (33.55 mi),22.8 (2020)[R 19]
Chengdu,China,Chengdu Metro,2010,2023[76],291[Nb 15],13,561.7 km (349.0 mi)[77],"1,800 (2021)[R 20]"
Chongqing,China,Chongqing Rail Transit,2004,2023,256[Nb 16],11,523.7 km (325.4 mi)[78],839.8 (2020)[R 19]
Dalian,China,Dalian Metro[79],2003,2023[80],100,6,237.7 km (147.7 mi),125.2 (2020)[R 19]
Dongguan,China,Dongguan Rail Transit,2016[81],2016,15,1,37.7 km (23.4 mi),35.1 (2020)[R 19]
Foshan,China,Foshan Metro[Nb 17],2010,2022[82],61,3,112.7 km (70.0 mi),0 (2023)[R Nb 4]
Fuzhou,China,Fuzhou Metro,2016[83],2023[84],90,5,143.5 km (89.2 mi),94.8 (2020)[R 19]
Guangzhou,China,Guangzhou Metro[Nb 18],1997,2023[85],265[Nb 19],16,648.8 km (403.1 mi)[85],"2,415.6 (2020)[R 19]"
Guiyang,China,Guiyang Metro,2017[86],2023[87],82,3,118.73 km (73.78 mi)[87],37 (2020)[R 19]
Hangzhou,China,Hangzhou Metro[88],2012,2022[89],254[Nb 20],13,516.2 km (320.8 mi)[90],582.4 (2020)[R 19]
Harbin,China,Harbin Metro,2013[91],2023[92],66,3,83.8 km (52.1 mi),51.3 (2020)[R 19]
Hefei,China,Hefei Metro,2016[93],2023[94],154,5,202 km (126 mi),195.1 (2020)[R 19]
Hohhot,China,Hohhot Metro,2019[95],2020[96],43[95],2,49 km (30 mi)[95],21.3 (2020)[R 19]
Hong Kong,China,Hong Kong Mass Transit Railway,1979[Nb 21],2022,99[97],10,174.7 km (108.6 mi)[98],"1,616.3 (2021)[R 21][R 22][R Nb 5]"
Jinan,China,Jinan Metro,2019[99],2021[100][101],41[99][102],3,84.3 km (52.4 mi)[99][102],8.7 (2020)[R 19]
Jinhua,China,Jinhua Rail Transit,2022[103],2023,32,2,118.5 km (73.6 mi),0 (2023)
Kunming,China,Kunming Metro,2012,2022[104],103,6,164.3 km (102.1 mi),159.3 (2020)[R 19]
Lanzhou,China,Lanzhou Metro,2019[105],2023,27[105],2,35 km (22 mi)[105],52.5 (2020)[R 19]
Luoyang,China,Luoyang Subway,2021[101][106],2021,33[101][106],2,43.6 km (27.1 mi)[101],0 (2023)
Macau,China,Macau Light Rapid Transit,2019,2023,12,1,12.5 km (7.8 mi),0 (2023)
Nanchang,China,Nanchang Metro,2015,2021[107],94,4,128.3 km (79.7 mi),135.9 (2020)[R 19]
Nanjing,China,Nanjing Metro[108],2005,2023[109],206[110],13,505.9 km (314.4 mi)[111],801.3 (2020)[R 19]
Nanning,China,Nanning Metro[112],2016,2021[113],93,5,128.2 km (79.7 mi),208.4 (2020)[R 19]
Nantong,China,Nantong Rail Transit,2022[114],2023,43,2,60 km (37 mi),0 (2023)
Ningbo,China,Ningbo Rail Transit[115],2014,2022[116],116,5,185.3 km (115.1 mi),159.9 (2020)[R 19]
Qingdao,China,Qingdao Metro,2015[117],2023[118],150,7,311.5 km (193.6 mi),139.1 (2020)[R 19]
Shanghai,China,Shanghai Metro,1993[119],2021[120],403[Nb 22],19,795.5 km (494.3 mi)[120][Nb 23],"2,834.7 (2020)[R 19]"
Shaoxing,China,Shaoxing Metro,2021[121],2023,35,2,57.8 km (35.9 mi)[121],0 (2023)
Shenyang,China,Shenyang Metro,2010,2023[122],111,5,163.7 km (101.7 mi),316.3 (2020)[R 19]
Shenzhen,China,Shenzhen Metro,2004,2023[123],307[Nb 24],16,555.4 km (345.1 mi),"2,178 (2021)"
Shijiazhuang,China,Shijiazhuang Metro,2017,2021[124],60[124],3,76.5 km (47.5 mi)[124],71.7 (2020)[R 19]
Suzhou,China,Suzhou Rail Transit,2012,2023[125],181,6,249.5 km (155.0 mi)[125],308.6 (2020)[R 19]
Taiyuan,China,Taiyuan Metro,2020,2020,23,1,23.7 km (14.7 mi)[126],0.88 (6 days in 2020)
Taizhou,China,Taizhou Rail Transit,2022[127],2022,15,1,52.4 km (32.6 mi)[128],0 (2023)
Tianjin,China,Tianjin Metro,1984,2023[129],192,10,301 km (187 mi),338.8 (2020)[R 19]
Ürümqi,China,Ürümqi Metro,2018,2019[130],21,1,27.6 km (17.1 mi),19.1 (2020)[R 19]
Wenzhou,China,Wenzhou Rail Transit,2019[131],2023,36,2,116.5 km (72.4 mi)[132],7 (2020)[R 19]
Wuhan,China,Wuhan Metro,2004,2023[133],262[Nb 25],12,486.3 km (302.2 mi)[133],"1,012.7 (2021)[R 23]"
Wuxi,China,Wuxi Metro,2014[134],2021[135],80,4,114.8 km (71.3 mi),87.2 (2020)[R 19]
Xiamen,China,Xiamen Metro,2017[136],2023[137],70,3,98.4 km (61.1 mi),114 (2020)[R 19]
Xi'an,China,Xi'an Metro,2011,2023[138],191,9,311 km (193 mi),731 (2020)[R 19]
Xuzhou,China,Xuzhou Metro,2019[139],2021[140],51,3,64.4 km (40.0 mi),20.9 (2020)[R 19]
Zhengzhou,China,Zhengzhou Metro,2013[141],2023[142],187,11,344.2 km (213.9 mi),341 (2020)[R 19]
Medellín,Colombia,Medellín Metro,1995[143],2012[Nb 26],27[143],2,31.3 km (19.4 mi)[143],215.2 (2022)[R 24]
Prague,Czech Republic,Prague Metro,1974[144],2015[Nb 27],58[145],3,65.4 km (40.6 mi)[146],251.4 (2020)[R 25]
Copenhagen,Denmark,Copenhagen Metro,2002[147],2020[147],39[148],4,38.2 km (23.7 mi)[148],107 (2022)[R 26]
Santo Domingo,Dominican Republic,Santo Domingo Metro,2009,2018[149],33[149][150][151],2,31 km (19 mi)[150][151],49.6 (2020)[R 27]
Quito,Ecuador,Quito Metro,2023,2023,15,1,22.6 km (14.0 mi),0 (2023)
Cairo,Egypt,Cairo Metro[152],1987,2024[153],80[152],3,99.7 km (62.0 mi)[152],"1,314 (2015)[R 28][R Nb 6]"
Helsinki,Finland,Helsinki Metro,1982[154],2022[Nb 28][155],30[156],2,43 km (27 mi)[157],69.9 (2022)[R 29]
Lille,France,Lille Metro,1983[158],2000[158],60[159],2,45 km (28 mi)[159],109.44 (2022)[R 30]
Lyon,France,Lyon Metro,1978[160],2023,42[161],4,34.4 km (21.4 mi)[161],194.58 (2022)[R 30]
Marseille,France,Marseille Metro,1977,2019,29[162],2,22.7 km (14.1 mi)[162],67.28 (2022)[R 30]
Paris,France,Paris Métro,1900[163],2022[164],308[165],16,226.9 km (141.0 mi)[166],"1,339.3 (2022)[R 31][R 32][R Nb 7]"
Rennes,France,Rennes Metro,2002,2022,28,2,22.4 km (13.9 mi),42.02 (2022)[R 30]
Toulouse,France,Toulouse Metro,1993[167],2007[167][Nb 29],37[168],2,28.2 km (17.5 mi)[167],103.7 (2022)[R 30]
Tbilisi,Georgia,Tbilisi Metro,1966[169],2017[170][Nb 30],23[171],2,27.3 km (17.0 mi)[172],78.4 (2020)[R 3]
Berlin,Germany,Berlin U-Bahn,1902[173],2021[174][175],175[176][175],9,155.6 km (96.7 mi)[177],492.1 (2022)[R 33]
Hamburg,Germany,Hamburg U-Bahn,1912[178],2019[179],93[180],4,106 km (66 mi)[180],195.8 (2022)[R 34]
Munich,Germany,Munich U-Bahn,1971[181],2010[Nb 31],96[181],8,95 km (59 mi)[181],254 (2021)[R 35]
Nuremberg,Germany,Nuremberg U-Bahn,1972,2020[182][183],49[183],3,38.4 km (23.9 mi)[183],71.8 (2021)[R 36]
Athens,Greece,Athens Metro[Nb 32],1904[186][Nb 33],2022[187],66[188],3,91.7 km (57.0 mi)[184],259.2 (2018)[R 37][R Nb 8]
Budapest,Hungary,Budapest Metro,1896,2014[189],48,4,39.2 km (24.4 mi)[189][190],211.6 (2021)[R 38]
Ahmedabad,India,Ahmedabad Metro,2019[191],2022[192],31,2,37.9 km (23.5 mi)[193],0.4 (2019*)[R 39]
Bangalore,India,Namma Metro,2011[194],2023[195],65[196],2,73.81 km (45.86 mi)[197][198],174.2 (2020*)[R 40]
Chennai,India,Chennai Metro,2015[199],2021[200],42[201],2,54.1 km (33.6 mi)[202],42 (2019*)[R 39]
New Delhi,India,Delhi Metro,2002[203],2023[204],231[Nb 34],10,351.3 km (218.3 mi)[Nb 35][205],"2,032 (2023*)[R 39]"
Gurgaon,India,Rapid Metro Gurgaon,2013[207],2017[208],11[208],1,12.1 km (7.5 mi)[208],18.3 (2018*)[R 41][R Nb 9]
Noida,India,Noida Metro,2019[209],2019,21,1,29.7 km (18.5 mi),5 (2019*)[R 39]
Hyderabad,India,Hyderabad Metro,2017[210],2020[211],58[211],3,67 km (42 mi)[211],173 (2019*)[R 39]
Jaipur,India,Jaipur Metro,2015[212][213],2020[213],11[213],1,12 km (7.5 mi)[213],7 (2019*)[R 39]
Kanpur,India,Kanpur Metro,2021[214],2021,9,1,8.73 km (5.42 mi),0 (2023)
Kochi,India,Kochi Metro,2017[215],2022[216],24,1,26.8 km (16.7 mi)[217],17 (2019*)[R 39]
Kolkata,India,Kolkata Metro,1984[218],2022[219],40[220],3,47.85 km (29.73 mi)[220],256 (2019*)[R 39]
Lucknow,India,Lucknow Metro,2017[221],2019[222],21[221],1,22.9 km (14.2 mi)[221],22 (2019*)[R 39]
Mumbai,India,Mumbai Metro,2014[223],2023[224],40[225],3,46.5 km (28.9 mi)[226],126 (2018)[R 42]
Navi Mumbai,India,Navi Mumbai Metro,2023,2023,11,1,11.10 km (6.90 mi),0 (2023)
Nagpur,India,Nagpur Metro,2019[227],2022[228],36[228],2,38.2 km (23.7 mi)[228],4 (2019*)[R 39]
Pune,India,Pune Metro,2022,2023,20,2,23.8 km (14.8 mi),0 (2023)
Jakarta,Indonesia,Jakarta Mass Rapid Transit,2019[229],2019,13,1,15.7 km (9.8 mi),19.7 (2022)[R 43]
Jakarta,Indonesia,Jabodebek LRT,2023,2023,18,2,44.5 km (27.7 mi),0 (2023)
Jakarta,Indonesia,Jakarta Light Rapid Transit,2019,2019,6,1,5.8 km (3.6 mi),0 (2023)
Palembang,Indonesia,Palembang LRT,2018,2018,13,1,23.4 km (14.5 mi),0 (2023)
Isfahan,Iran,Isfahan Urban Railway,2015[230],2018[231][232],20[231],1,20.2 km (12.6 mi)[231],0 (2023)
Mashhad,Iran,Mashhad Urban Railway,2011[233],2019[234],35[235],2,37.5 km (23.3 mi)[236],50.7 (2018)[R 44]
Shiraz,Iran,Shiraz Metro,2014[237],2023[Nb 36],24,2,32.5 km (20.2 mi),18 (2018)[R 45]
Karaj,Iran,Karaj Metro,2023[238][Nb 37],2023[Nb 38],3[Nb 39],1,6.5 km (4.0 mi)[239][Nb 39],0 (2023)
Tabriz,Iran,Tabriz Metro,2015[240],2020,18,1,17.2 km (10.7 mi),0 (2023)
Tehran,Iran,Tehran Metro,1999[241][Nb 40],2023[242],162[Nb 41][243][244],6,274.1 km (170.3 mi)[Nb 41][243],820 (2018*)[R 46]
Brescia,Italy,Brescia Metro,2013[245],2013,17[246],1,13.7 km (8.5 mi)[246],18.7 (2019)[R 47]
Catania,Italy,Catania Metro,1999[247],2021[Nb 42][248],10[249],1,8.8 km (5.5 mi),6.5 (2019)[R 48]
Genoa,Italy,Genoa Metro,1990[250],2012[250],8[250],1,7.1 km (4.4 mi)[250],15.3 (2018)[R 49][R Nb 10]
Milan,Italy,Milan Metro,1964[251],2023[251],113[Nb 43],5,104.1 km (64.7 mi)[253],387.2 (2019)[R 50]
Naples,Italy,Naples Metro[Nb 44],1993,2021[Nb 45],27[254],4,30.8 km (19.1 mi)[254],41.1 (2019)[R 51][R Nb 11]
